Scheme Type,Scheme Name,Actuals 2021-2022,Budget Estimates 2022-2023,Revised Estimates 2022-2023,Budget Estimates 2023-2024
Core of the Core Schemes,Mahatma Gandhi National Rural Employment Guarantee Program,98468,73000,89400,60000
Core of the Core Schemes,National Social Assistance Progam,8152,9652,9652,9636
Core of the Core Schemes,Umbrella Programme for Development of Minorities,1428,1810,530,610
Core of the Core Schemes,Umbrella Programme for Development of Other Vulnerable Groups,1745,1931,1921,2194
Core of the Core Schemes,Umbrella Programme for Development of Scheduled Tribes,3779,4111,3874,4295
Core of the Core Schemes,Umbrella Scheme for Development of Schedule Castes,4979,8710,7722,9409
Core Schemes,Assistance to States Agencies for Intra-State Movement of Foodgrains and FPS Dealers Margin under NFSA,...,6572,6572,7425
Core Schemes,Ayushman Bharat - Pradhan Mantri Jan Arogya Yojna (PMJAY),3116,6457,6427,7200
Core Schemes,Computerization of Primary Agricultural Credit Societies,...,350,350,968
Core Schemes,Development Programmes,1390,1395,1200,1406
Core Schemes,Krishionnati Yojana,...,7183,5000,7066
Core Schemes,PM Schools for Rising India (PM SHRI),...,...,...,4000
Core Schemes,Pradhan Mantri Ayushman Bharat Health Infrastructure Mission (PMABHIM),177,979,282,646
Core Schemes,Pradhan Mantri Poshan Shakti Nirman (PM POSHAN),...,10234,12800,11600
Core Schemes,Prime Minister Formalisation of Micro Food Processing Enterprises Scheme (PM FME),326,900,290,639
Core Schemes,Strengthening Teaching-Learning and Results for States (STARS),313,550,400,800
Core Schemes,Rashtriya Krishi Vikas Yojna,...,10433,7000,7150
Core Schemes,Interlinking of Rivers,4634,1400,1100,3500
Core Schemes,Blue Revolution,1179,1891,1422,2025
Core Schemes,Border Area Development Programme,216,566,160,600
Core Schemes,"Environment, Forestry and Wildlife",657,930,549,759
Core Schemes,Infrastructure Facilities for Judiciary,693,858,858,1061
Core Schemes,Jal Jeevan Mission (JJM)/National Rural Drinking Water Mission,63126,60000,55000,70000
Core Schemes,Mission Shakti (Mission for Protection and Empowerment for Women),1912,3184,2280,3144
Core Schemes,Modernisation of Police Forces,3307,2754,2432,3750
Core Schemes,National Education Mission,25305,39553,32612,38953
Core Schemes,National Health Mission,32958,37160,33708,36785
Core Schemes,National Livelihood Mission - Ajeevika,10177,14236,13886,14129
Core Schemes,Pradhan Mantri Awas Yojna (PMAY),90020,48000,77130,79590
Core Schemes,Pradhan Mantri Gram Sadak Yojna,13992,19000,19000,19000
Core Schemes,Pradhan Mantri Krishi Sinchai Yojna,11278,12954,8085,10787
Core Schemes,Rashtriya Gram Swaraj Abhiyan (RGSA),690,663,762,895
Core Schemes,Swachh Bharat Mission,1952,2300,2000,5000
Core Schemes,Swachh Bharat Mission (Gramin),3099,7192,5000,7192
Core Schemes,"Saksham Anganwadi and POSHAN 2.0(Umbrella ICDS - Anganwadi Services,Poshan Abhiyan, Scheme for Adolescent,Girls)
",18382,20263,20263,20554
Core Schemes,Urban Rejuvenation Mission: AMRUT and Smart Cities Mission,13868,14100,15300,16000
Core Schemes,Mission VATSALYA (Child Protection Services and Child Welfare Services),761,1472,1100,1472
Major Central Sector Schemes,Distribution of Pulses to State / Union Territories for Welfare Schemes,50,9,166,800
Major Central Sector Schemes,Crop Insurance Scheme,13549,15500,12376,13625
Major Central Sector Schemes,Modified Interest Subvention Scheme (MISS),...,19500,22000,23000
Major Central Sector Schemes,Research and Development Projects,1256,963,970,840
Major Central Sector Schemes,Development of Pharmaceutical Indsutry,... ,100,36,1250
Major Central Sector Schemes,Production Linked Incentive Schemes,... ,1629,1663,1200
Major Central Sector Schemes,Wireless Planning and Coordination,59,76,85,756
Major Central Sector Schemes,Domestic Industry Incentivisation Scheme,...,...,...,915
Major Central Sector Schemes,Works under Border Roads Development Board,-19,...,4500,5000
Major Central Sector Schemes,Other works,828,1000,900,950
Major Central Sector Schemes,Investment in Public Enterprises,1643,1310,1310,1310
Major Central Sector Schemes,Naval Fleet,24928,29452,24187,24200
Major Central Sector Schemes,Construction Works-Army,4489,5596,5125,6789
Major Central Sector Schemes,Aircrafts and Aeroengines-Army,7331,5926,7500,7000
Major Central Sector Schemes,Other equipment-Army,16532,21722,20885,21300
Major Central Sector Schemes,Land-Navy,37,17,30,1551
Major Central Sector Schemes,Construction Works-Navy,1413,1056,1856,1900
Major Central Sector Schemes,Other equipment-Navy,6692,6000,8200,9500
Major Central Sector Schemes,Naval Dockyard/projects,4047,3842,4500,6725
Major Central Sector Schemes,Joint Staff,572,1268,1404,1839
Major Central Sector Schemes,Construction Works-Air Force,2181,2664,1996,2342
Major Central Sector Schemes,Special Projects,668,891,969,1562
Major Central Sector Schemes,Aircrafts and Aeroengines-Air Force,29930,18966,23713,15722
Major Central Sector Schemes,Heavy and Medium Vehicles-Air Force,98,210,163,948
Major Central Sector Schemes,Other equipment-Air Force,18947,32309,26624,36223
Major Central Sector Schemes,Projects of the Air Force,1391,1265,122,1132
Major Central Sector Schemes,Heavy and Medium Vehicles,1508,1817,2385,3000
Major Central Sector Schemes,Schemes of North East Council,387,644,667,800
Major Central Sector Schemes,"Prime Minister's Development Initiative for North East Region (PM-DevINE)
",...,...,400,2200
Major Central Sector Schemes,Deep Ocean Mission (DOM),119,650,300,600
Major Central Sector Schemes,"Atmosphere and Climate Research - Modelling Observing Systems and Services (ACROSS)

",247,460,400,680
Major Central Sector Schemes,PM Uchchatar Shiksha Protsahan (PM-USP) Yojna,...,...,...,1554
Major Central Sector Schemes,Electronic Governance,312,525,525,556
Major Central Sector Schemes,Capacity Building and Skill Development Scheme,...,...,...,538
Major Central Sector Schemes,Modified Programme for Development of Semiconductors and Display Manufacturing Ecosystem in India,...,...,200,3000
Major Central Sector Schemes,Production Linked Incentive Scheme (PLI),...,...,...,4645
Major Central Sector Schemes,Control of Pollution,407,460,600,756
Major Central Sector Schemes,Scheme for Bhutan,1647,2266,2500,2401
Major Central Sector Schemes,Scheme for Nepal,446,750,425,550
Major Central Sector Schemes,"National Investment and Infrastructure Fund (NIIF)
",1238,5003,2000,2000
Major Central Sector Schemes,"Lines of Credit under Indian Development and Economic Assistance Scheme (IDEAS)
",...,1300,1320,1300
Major Central Sector Schemes,"Government Co-contribution to Atal Pension Yojana
",203,200,725,521
Major Central Sector Schemes,Remission of Duties and Taxes on Exported Products (RoDTEP),...,...,13699,15069
Major Central Sector Schemes,Rebate on State and Central Taxes and Levies (RoSCTL),...,...,7641,8405
Major Central Sector Schemes,Onetime payment of Arrears.,...,...,5770,4081
Major Central Sector Schemes,Pradhan Mantri Kisan Samman Nidhi (PM-Kisan),66825,68000,60000,60000
Major Central Sector Schemes,Production-Linked Incentive Scheme for Food Processing Industry,9,1022,801,1530
Major Central Sector Schemes,Family Welfare Schemes,300,484,474,517
Major Central Sector Schemes,Production Linked Incentive (PLI) Scheme for Automobiles and Auto Components,...,3,11,604
Major Central Sector Schemes,Inter Operable Criminal Justice System,...,591,105,591
Major Central Sector Schemes,"Broadcasting Infrastructure Network Development
",...,...,...,600
Major Central Sector Schemes,Khadi Gramodyog Vikas Yojana,...,749,736,917
Major Central Sector Schemes,Atal Bhujal Yojna,...,700,700,1000
Major Central Sector Schemes,Raising and Accelerating MSME Performance,...,723,455,1170
Major Central Sector Schemes,Education Empowerment,2250,2515,1584,1689
Major Central Sector Schemes,PM-Viraasat Ka Samvardhan (PM VIKAS),...,...,...,540
Major Central Sector Schemes,Solar Power (Grid),2042,3304,3470,4970
Major Central Sector Schemes,Wind Power (Grid),1100,1050,1413,1214
Major Central Sector Schemes,Payment to Indian Strategic Petroleum Reserve Limited (ISPRL) for Crude Oil Reserve,...,...,...,5000
Major Central Sector Schemes,"Indian Strategic Petroleum Reserve Limited (ISPRL) Phase II (Construction of Cavems)
",210,600,40,508
Major Central Sector Schemes,"Indradhanush Gas Grid Limited(IGGL)-part of the North East Natural Gas Pipeline Grid
",850,1798,1798,1800
Major Central Sector Schemes,Capital Support to Oil Marketing Companies,...,...,...,30000
Major Central Sector Schemes,Reform Linked Distribution Scheme,814,7566,6000,12072
Major Central Sector Schemes,New Lines,20784,25243,24914,31850
Major Central Sector Schemes,Gauge Conversion,2343,2850,3220,4600
Major Central Sector Schemes,Doubling,8682,12108,24093,30749
Major Central Sector Schemes,Traffic Facilities - Yard Remodelling and Others,1830,2045,2240,6715
Major Central Sector Schemes,Rolling Stock,13493,7978,15158,37581
Major Central Sector Schemes,Leased assets - Payment of Capital Component,14581,22188,18898,22229
Major Central Sector Schemes,Road Safety Works - Level Crossings,450,1000,750,700
Major Central Sector Schemes,"Road Safety Works - Road Over/Under Bridges
",4225,6500,6000,7400
Major Central Sector Schemes,Track Renewals,16558,13335,15388,17297
Major Central Sector Schemes,Signalling and Telecom,2145,2500,2428,4198
Major Central Sector Schemes,"Bridge Works, Turnnel Works and Approaches",1302,940,1215,1255
Major Central Sector Schemes,Electrification Projects,0,...,214,8070
Major Central Sector Schemes,Other Electrical Works,628,650,676,1650
Major Central Sector Schemes,Machinery and Plant,898,600,538,740
Major Central Sector Schemes,Workshop Including Production Units,2670,2045,2671,4601
Major Central Sector Schemes,Staff Welfare,473,495,463,629
Major Central Sector Schemes,Customer Amenities,1996,2700,3824,13355
Major Central Sector Schemes,Investment in PSU/JV/SPV etc.,25751,38687,28981,34354
Major Central Sector Schemes,Other Specified Works,543,740,857,1300
Major Central Sector Schemes,Metropolitan Transportation Projects,2524,2000,1838,2450
Major Central Sector Schemes,Transfer to Railway Safety Fund,10600,...,35000,45000
Major Central Sector Schemes,National Mission on Interdisciplinary Cyber Physical Systems,...,350,300,580
Major Central Sector Schemes,Skill India Programme,...,...,...,2278
Major Central Sector Schemes,INSAT Satellite Systems,345,419,452,531
Major Central Sector Schemes,"Member of Parliament Local Area Development Scheme (MPLAD)
",1732,3965,3965,3959
Major Central Sector Schemes,Eklavya Model Residential Schools (EMRS),...,2000,2000,5943
Major Central Sector Schemes,National Tribal Welfare Program,...,...,...,655
Major Central Sector Schemes,Khelo India,764,974,600,1000
Major Central Sector Schemes,Road Works,66237,64568,74984,107713
Major Central Sector Schemes,"Formation and Promotion of 10,000 Farmer Producer Organizations (FPOs)",427,500,955,955
Major Central Sector Schemes,Agriculture Infrastructure Fund (AIF),...,...,208,900
Major Central Sector Schemes,Crop Science,603,526,526,714
Major Central Sector Schemes,Feedstock,1080,1419,1374,1374
Major Central Sector Schemes,R&D projects of Bhabha Atomic Research Centre (BARC),1309,1259,955,1013
Major Central Sector Schemes,Fuel Recycle Projects (NRB),646,800,704,80
Major Central Sector Schemes,Nuclear Fuel Fabrication Projects,640,598,800,764
Major Central Sector Schemes,Fast Reactor Fuel Cycle Projects (FRFCF) Kalpakkam,431,660,400,516
Major Central Sector Schemes,Urea Subsidy,100988,63222,154098,131100
Major Central Sector Schemes,Nutrient Based Subsidy,52770,42000,71122,44000
Major Central Sector Schemes,Interest Equalisation Scheme,3488,2622,2376,2932
Major Central Sector Schemes,National Industrial Corridor Development and Implementation Trust (NICDIT),859,1500,1500,2000
Major Central Sector Schemes,Fund of Funds,1330,1000,1189,1470
Major Central Sector Schemes,Refund of Central and Integrated GST to Industrial Units in North Eastern Region and Himalayan States,3904,3632,2100,1714
Major Central Sector Schemes,Postal Operation,898,966,1270,1144
Major Central Sector Schemes,Optical Fibre Cable based network for Defence Services,3070,1961,1961,12158
Major Central Sector Schemes,Compensation to Service Providers for creation and augmentation of telecom infrastructure,8300,9000,3010,10400
Major Central Sector Schemes,Food Subsidy to Food Corporation of India under National Food Security Act.,208929,145920,214696,137207
Major Central Sector Schemes,Food Subsidy for Decentralized Procurement of Foodgrains under NFSA,79790,60561,72283,59793
Major Central Sector Schemes,North East Special Infrastructure Development Scheme (NESIDS),790,1419,1233,2491
Major Central Sector Schemes,World Class Institutions,1046,1700,1200,1500
Major Central Sector Schemes,Promotion of Digital payment,1044,200,2137,1500
Major Central Sector Schemes,"Promotion of Electronics and IT HW Manufacturing (MSIPS, EDF and Manufacturing Clusters)",1193,2403,1199,700
Major Central Sector Schemes,R and D in IT/Electronics/CCBT,502,598,365,600
Major Central Sector Schemes,Livestock Health and Disease Control Programme,911,2000,1390,2350
Major Central Sector Schemes,Pradhan Mantri Kisan Sampada Yojana,713,900,673,923
Major Central Sector Schemes,National AIDS and STD Control Programme,2126,3027,2182,3080
Major Central Sector Schemes,Pardhan Mantri Swasthya Suraksha Yojana,9270,10000,8270,3365
Major Central Sector Schemes,Scheme for Faster Adoption and Manufacturing of (Hybrid and) Electric Vehicle in India-(FAME â€“ India).,800,2908,2898,5172
Major Central Sector Schemes,Freedom Fighters (pension and other benefits),729,688,655,653
Major Central Sector Schemes,Border Infrastructure and Management,2662,2745,3739,3545
Major Central Sector Schemes,Police Infrastructure,2839,3919,2188,3637
Major Central Sector Schemes,Metro Projects,23262,19130,15629,19518
Major Central Sector Schemes,National Capital Region Transport Corporation,188,4710,4710,3596
Major Central Sector Schemes,National River Conservation Plan,1200,840,800,850
Major Central Sector Schemes,National Ganga Plan and Ghat Works,...,2800,2500,4000
Major Central Sector Schemes,"Employees Pension Scheme, 1995",18478,8485,8485,9167
Major Central Sector Schemes,Aatmanirbhar Bharat Rojgar Yojana,3931,6400,5758,2273
Major Central Sector Schemes,Prime Minister Employment Generation Programme (PMEGP),2889,2500,2484,2700
Major Central Sector Schemes,Guarantee Emergency Credit Line (GECL) facility to eligible MSME borrowers,7445,15000,10500,14100
Major Central Sector Schemes,Kisan Urja Suraksha evam Utthaan Mahabhiyan(KUSUM),406,1716,1325,1996
Major Central Sector Schemes,Feedstock Subsidy to BCPL/Assam Gas Cracker Complex,...,...,265,1078
Major Central Sector Schemes,Official Development Assistance for Sustainable Development Goals (EAP Component),...,...,...,581
Major Central Sector Schemes,Strengthening of Power Systems,3295,2976,2743,2903
Major Central Sector Schemes,Power System Development Fund,772,604,800,1000
Major Central Sector Schemes,National Highways Authority of India,57081,134015,141606,162207
Major Central Sector Schemes,Science and Technology Institutional and Human Capacity Building,915,1128,837,1068
Major Central Sector Schemes,Research and Development,10263,11982,11982,12850
Major Central Sector Schemes,"Innovation, Technology Development and Deployment",681,813,538,537
Major Central Sector Schemes,Biotechnology Research and Development,1425,1315,1000,1345
Major Central Sector Schemes,Space Technology,8874,10535,7927,9441
Major Central Sector Schemes,Space Applications,1204,1483,1283,1559
Major Central Sector Schemes,Amended Technology Upgradation Fund Scheme(ATUFS),625,650,650,900
Major Central Sector Schemes,Central Silk Board,854,875,875,918
Major Central Sector Schemes,Integrated Development of Tourist Circuits around specific themes (Swadesh Darshan),261,1181,600,1412
